State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Type,Rate Definition,Core Set Year,Population,Methodology,State Rate,Number of States Reporting,Mean,Median,Bottom Quartile,Top Quartile,Notes,Source,State-Specific Comments,Rate Used in Calculating State Mean and Median
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 13 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,36.3,50,34.4,33.0,27.5,42.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 13 to 17,2024,Separate CHIP (Title XXI),Administrative,DS,50,34.4,33.0,27.5,42.1,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,39.7,52,45.5,44.8,35.2,56.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,39.6,52,45.5,44.8,35.2,56.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2024,Separate CHIP (Title XXI),Administrative,41.0,52,45.5,44.8,35.2,56.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,62.6,52,68.1,70.0,62.8,76.7,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,62.0,52,68.1,70.0,62.8,76.7,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2024,Separate CHIP (Title XXI),Administrative,72.1,52,68.1,70.0,62.8,76.7,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least One Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12 ,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,40.2,52,46.4,47.4,41.1,52.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least One Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12 ,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,39.6,52,46.4,47.4,41.1,52.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least One Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12 ,2024,Separate CHIP (Title XXI),Administrative,45.4,52,46.4,47.4,41.1,52.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least Two Follow-Up Visits in the 9-Month Continuation and Maintenance Phase: Ages 6 to 12,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,81.8,51,54.0,54.8,47.3,60.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least Two Follow-Up Visits in the 9-Month Continuation and Maintenance Phase: Ages 6 to 12,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,95.2,51,54.0,54.8,47.3,60.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least Two Follow-Up Visits in the 9-Month Continuation and Maintenance Phase: Ages 6 to 12,2024,Separate CHIP (Title XXI),Administrative,49.6,51,54.0,54.8,47.3,60.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,32.6,50,45.1,43.6,37.6,50.5,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,32.5,50,45.1,43.6,37.6,50.5,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 11,2024,Separate CHIP (Title XXI),Administrative,34.7,50,45.1,43.6,37.6,50.5,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,52.4,50,60.1,59.7,55.1,63.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,52.2,50,60.1,59.7,55.1,63.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 12 to 17,2024,Separate CHIP (Title XXI),Administrative,56.9,50,60.1,59.7,55.1,63.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,44.7,52,55.4,54.6,50.4,59.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,44.4,52,55.4,54.6,50.4,59.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 17,2024,Separate CHIP (Title XXI),Administrative,49.9,52,55.4,54.6,50.4,59.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,17.9,50,32.3,30.1,24.7,35.7,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,17.9,50,32.3,30.1,24.7,35.7,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 11,2024,Separate CHIP (Title XXI),Administrative,17.8,50,32.3,30.1,24.7,35.7,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,28.7,50,38.9,39.0,31.6,45.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,28.6,50,38.9,39.0,31.6,45.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 12 to 17,2024,Separate CHIP (Title XXI),Administrative,29.6,50,38.9,39.0,31.6,45.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,24.5,52,36.9,36.7,30.4,43.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,24.4,52,36.9,36.7,30.4,43.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 17,2024,Separate CHIP (Title XXI),Administrative,25.9,52,36.9,36.7,30.4,43.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,17.0,50,30.8,28.2,23.5,35.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,17.1,50,30.8,28.2,23.5,35.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
